item_code,item_name,decision,correct_product_name,correct_product_name_ar
59940,MERIOFERT 150 IU AMP,approved_match,MERIOFERT 150 I.U. VIAL,ميريوفيرت 150 وحده امبول امبول
90130,MERONEM 1000MG 10 VIAL.,auto_matched,MERONEM 1000 MG I.V.VIAL,ميرونيم 1000 مجم امبول وريد
23026,MERONEM 500MG 1VIAL,auto_matched,MERONEM 500 MG I.V.VIAL,ميرونيم 500 مجم امبول وريد
30931,MERTI 30 CAPS,auto_matched,MERTI 30 CAPSULES,ميرتي 30 كبسول
87877,METAPSIN 10 TABLETS,auto_matched,METAPSIN 10 TABS,ميتابسين 10 اقراص
89041,METFORMIN-EVA XR 500 MG 30 TABS.,auto_matched,METFORMIN EVA XR 500 MG 30 TABS,ميتفورمين 500 مجم اكس ار 30 اقراص ايفا
81086,METHABIOGEN 8MG TABS,auto_matched,METHABIOGEN 8 MG 30 SCORED TABS.,ميثابيوجين 8 مجم 30 اقراص
2779,METHERGIN 30TAB,auto_matched,METHERGIN 30 TAB,ميثرجين 0.125 مجم 30 اقراص
85591,METHOQUICK 500/50 MG 30 TABS,auto_matched,METHOQUICK 50 / 500 MG 30 TABS,ميثوكويك 50 / 500 مجم 30 اقراص
83165,METHYL FOLATE 30 CAP ORCHIDIA,auto_matched,METHYL FOLATE ORA 30 CAPS,ميثيل فولات اورا 30 كبسول
METH,METHYLTECHNO 1000 MCG O.D.F,approved_match,METHYLTECHNO 1000 MCG 30 ORODISSOLVABLE FILMS,ميثايلتكنو 1000 ب 12 مكجم 30 فيلم
21239,MICONAZ 2% LIQUID SPRAY 60 ML,approved_match,MICONAZ 2 % LIQUID SPRAY 60 ML,ميكوناز بخاخ سائل 60 مل
21058,MIDODRINE 2.5 mg 20 TAB,auto_matched,MIDODRINE 2.5 MG 20 TAB.,ميدودرين 2.5 مجم 20 اقراص
73241,MINALAX 10 TAB,auto_matched,MINALAX 10 TAB,مينالاكس 10 اقراص
43798,MIRAGE 1 GM I.V. VIAL,approved_match,MIRAGE 1000 MG I.V.VIAL,ميراج 1 جم امبول
91737,MIRFENACIN MR 5/25 MG,auto_matched,MIRFENACIN MR 5 / 25 MG 30 F.C. TABS,ميرفيناسين ام ار 5 / 25 مجم 30 اقراص
77249,MIRTIMASH 30MG 30-TAB,auto_matched,MIRTIMASH 30 MG 30 SCORED F.C. TABS.,ميرتيماش 30 مجم 30 اقراص
89422,MISHA MULTIVITAMIN SYRUP,auto_matched,MISHA MULTIVITAMIN SYRUP 120,ميشا شراب 120 مل
10463,MIXDERM CREAM 15 GM,auto_matched,MIXDERM CREAM 15 GM,ميكسدرم كريم 15 جم
mixp,MIXTARD 30 HM 100 I.U./ML 5*3ML PENFILLS,auto_matched,MIXTARD 30 HM 100 I.U. / ML 5 3 ML PENFILLS,مكستارد انسولين 30 اتش ام 100 وحده / مل 5 بينفل
61988,MOBIEASE MASSAGE GEL 60 GM,auto_matched,MOBIEASE GEL 60 GM,موبي ايز جل 60 جم
73632,MOBITIL 15 MG 3 AMP,approved_match,MOBITIL 15 MG / 1.5 ML 3 AMP.,موبيتيل 3 امبول
82738,MONONDEXIN 0.1 EYE DROPS,auto_matched,MONONDEXIN 0.1 EYE DROPS,مونودكسين 0.1 % قطره للعين 10 * 0.5 مل يوني دوز
65511,MOODAPEX 50 MG 30 TAB,auto_matched,MOODAPEX 50 MG 30 F.C.TAB.,مودابكس 50 مجم 30 اقراص
73253,MOOV MASSAGE CREAM 40 GM,auto_matched,MOOV UP CREAM MASSAGE 40 GM,موف اب كريم مساج 40 جم
73346,MOSEDIN 10 MG 20 TAB,auto_matched,MOSEDIN 10 MG 20 TAB.,موسيدين 10 مجم 20 اقراص
81147,MOVELEX MASSAGE CREAM 120GM,auto_matched,MOVELEX MASSAGE CREAM 120 GM,موفليكس كريم مساج 120 جم
82822,MOVELEX NANO SPRAY 200ML,auto_matched,MOVELEX NANO SPRAY 200 ML,موفليكس نانو بخاخ 200 مل
82150,MOVELEX PLUS GEL 100GM,auto_matched,MOVELEX PLUS MASSAGE GEL 100 GM,موفليكس بلس جل مساج 100 جم
67460,MOVICOL paediatric 30SACHETS,auto_matched,MOVICOL PAEDIATRIC 30 SACHETS,موفيكول 30 اكياس
61301,MOVIGIT 50 MG 30 TAB,auto_matched,MOVIGIT 50 MG 30 F.C.TABS.,موفيجيت 50 مجم 30 اقراص
84173,MOXAVIDEX 400 10TAB,auto_matched,MOXAVIDEX 400 MG 10 F.C.TAB.,موكسافيدكس 400 مجم 10 اقراص
87405,MR GUMMY MULTI VITAMINS 60 TABS JAR,auto_matched,MR.GUMMY MULTI VITAMIN 60 GUMMIES TABS,مستر جومي مالتي فيتامين 60 قطعه
74624,MUCO S.R 20TAB,auto_matched,MUCO S.R 75 MG 20 CAPS.,ميوكو اس ار كبسول جديد
2722,MUCOGEL SUSP. 180ML SYP,auto_matched,MUCOGEL SUSP. 180 ML,ميوكوجل شراب 180 مل
77250,MUCOSOL 375MG 20 CAPS,auto_matched,MUCOSOL 375 MG 20 CAPS.,ميوكوسول 375 مجم 20 كبسول
38110,MUCOSTA 100 MG 20 TAB,auto_matched,MUCOSTA 100 MG 20 F.C. TAB.,ميوكوستا 100 مجم 20 اقراص
65496,MULTI RELAX 10MG 20 TAB,auto_matched,MULTI RELAX 10 MG 20 F.C.TAB,مالتي ريلاكس 10 مجم 20 اقراص
66049,MUPIRAX 2% OINT. 30 GM,auto_matched,MUPIRAX 2 % OINT. 30 GM N / A,موبيراكس 2 % مرهم 30 جم
61989,MYOCOOL CREAM 100GM,auto_matched,MYOCOOL CREAM 100 GM,مايوكول كريم 100 جم
75397,MYOCOOL CREAM 60 GM,auto_matched,MYOCOOL CREAM 60 GM,مايوكول كريم 60 جم
91883,Movelex ultra cap,auto_matched,MOVELEX ULTRA 30 CAP,موفيلكس الترا 30 كبسول
66146,NACTALIA 1 MILK 400 G,auto_matched,NACTALIA 1 MILK 400 G,ناكتاليا 1 لبن 400 جم
71903,NACTALIA 2 MILK 400 G,auto_matched,NACTALIA 2 MILK 400 G,ناكتاليا 2 لبن 400 جم
82651,NAN 800GM 3,approved_match,NAN OPTIPRO STAGE 3 MILK 800 GM,نان اوبتي برو 3 لبن 800 جم
54703,NAN COMFORT MILK 380 GM,auto_matched,NAN COMFORT MILK 380 GM,نان كومفورت لبن 380 جم
15057,NAN LF MILK 400 GM,auto_matched,NAN LF MILK 400 GM,نان ال اف لبن 400 جم
58875,NANDURABOLIN 25 MG AMPOULE,auto_matched,NANDURABOLIN 25 MG AMP,ناندورابولين 25 مج / مل محلول عضل
NF,NAPIFIT 100MG 8 F.C.TAB,auto_matched,NAPIFIT 100 MG 8 TAB,نابي فيت 100 مجم 8 اقراص
89427,NAPIZOLE 40 MG 14 CAP,auto_matched,NAPIZOLE 40 MG 14 CAPS.,نابيزول 40 مجم 14 كبسول
48246,NEBILET 5 MG 14 TAB,auto_matched,NEBILET 5 MG 14 TAB.,نيبيليت 5 مجم 14 اقراص
89870,NEMOVIT GUM YUM EXTRA 50 PIECE,auto_matched,NEMOVIT GUM YUM EXTRA 50 PIECE,نيموفيت اوميجا 3 + فيتامين 50 قطعه
53812,NEO MERCAZOLE 100 TAB,auto_matched,NEO MERCAZOLE 100 TAB,نيوميركازول 5 مجم 100 اقراص
89482,NEPHROMED 100 TABS,auto_matched,NEPHROMED 100 TABS.,نيفروميد 100 اقراص
87015,NEPHROMED ADVANCE 14 SACHETS,auto_matched,NEPHROMED ADVANCE 14 SACHETS,نيفروميد ادفانس 14 اكياس
88047,NERFACTORY 30 CAPSULES,auto_matched,NERFACTORY 30 CAPS,نيرفاكتوري 30 اقراص
90125,NERHAFLUKS 20MG,auto_matched,NERHAFLUKS 20 MG 20 FILM,نيرهافليكس 20 مجم 20 فيلم
90493,NERHAFLUKS 40MG 20 FILM,auto_matched,NERHAFLUKS 40 MG 20 FILM,نيرهافليكس 40 مجم 20 فيلم
77762,NERHASILDA 50MG 16 FILM,auto_matched,NERHASILDA 50 MG 16 ORODISPERSIBLE FILMS,نيرهاسيلدا 50 مجم 16 فيلم
83374,NERHASILDA 75MG 8FILM,auto_matched,NERHASILDA 75 MG 8 ORODISPERSIBLE FILMS,نيرهاسيلدا 75 مجم 8 فيلم
87817,NERKARDOU 5 MG 30 FILM,auto_matched,NERKARDOU 5 MG 30 ORODISPERSIBLE FILMS,نركاردو 5 مجم 30 فيلم
91962,NERVI - BIOBOTS 30 CAPS,auto_matched,NERVI BIOBOTS 30 CAPS,نيرفي بيوبوتس 30 كبسول
78379,NESTOGEN 3 MILK 200GM,auto_matched,NESTOGEN 3 MILK 200 GM,نستوجين 3 لبن 200 جم
92026,NETALOPALM CAP,auto_matched,NETALOPALM 30 CAP,نتالوبالم كبسول
73819,NETLOOK 20MG CAP,auto_matched,NETLOOK 20 MG 20 SOFT GELATIN CAPS.,نت لوك 20 مجم 20 كبسول
74710,NEURAZINE 100 MG 20 TABS,auto_matched,NEURAZINE 100 MG 20 TABS,نيورازين 100 مجم 20 اقراص
87838,NEURED 30 CAPS,auto_matched,NEURED 30 TAB,نيوريد 30 كبسول
