product_name_ar,product_name_en,store_product_id,product_id,sale_price
╪º╪¿┘è╪▓┘è╪½╪▒┘ê 500 ┘à╪¼┘à 6 ┘â╪¿╪│┘ê┘ä,EPIZITHRO 500 MG 6 CAPS,2560244.0,135739.0,124.0
╪º╪¿┘è╪│╪¬╪¼┘à┘è┘å 0.05 % 5 ╪º┘à╪¿┘ê┘ä 1 ┘à┘ä,EPISTIGMIN 0.05 % 5 AMPOULES 1 ML,1738416.0,5297.0,10.0
╪º╪¿┘è╪│╪¬╪¼┘à┘è┘å 0.25 % 1 ╪º┘à╪¿┘ê┘ä 5 ┘à┘ä,EPISTIGMIN 0.25 % VIAL 5 ML,2434928.0,5298.0,42.0
╪º╪¿┘è╪│┘ê╪¿╪¬ ┘é╪╖╪▒┘ç 5 ┘à┘ä,EPISOPT EYE DROPS 5 ML,2434929.0,5295.0,70.0
╪º╪¿┘è╪│┘è┘ü┘è┘å 1 ╪¼┘à ╪º┘à╪¿┘ê┘ä ╪╣╪╢┘ä,EPICEPHIN 1 GM I.M.VIAL,2671551.0,5204.0,60.0
╪º╪¿┘è╪│┘è┘ü┘è┘å 1 ╪¼┘à ╪º┘à╪¿┘ê┘ä ┘ê╪▒┘è╪»,EPICEPHIN 1 GM I.V. VIAL,2126756.0,5205.0,60.0
╪º╪¿┘è╪│┘è┘ü┘è┘å 2 ╪¼┘à ╪º┘à╪¿┘ê┘ä ┘ê╪▒┘è╪»,EPICEPHIN 2 GM I.V. VIAL,2559887.0,5206.0,77.0
╪º╪¿┘è┘ü╪º╪│┘è 5000 ┘ê╪¡╪»┘ç ╪º┘à╪¿┘ê┘ä,EPIFASI 5000 I.U. AMP.,2604156.0,5240.0,500.0
╪º╪¿┘è┘ü┘ê╪▒╪¬┘è┘ä 30 ┘â╪¿╪│┘ê┘ä,APIFORTYL 30 CAPS.,2642743.0,1081.0,150.0
╪º╪¿┘è┘ü┘è┘å╪º┘â 0.1 % ┘é╪╖╪▒┘ç 5 ┘à┘ä,EPIFENAC 0.1 % EYE DROPS 5 ML,925434.0,5241.0,20.0
╪º╪¿┘è┘ü┘è┘å╪º┘â 100 ┘à╪¼┘à 5 ┘ä╪¿┘ê╪│,EPIFENAC 100 MG 5 RECTAL SUPP.,1608263.0,5242.0,21.0
╪º╪¿┘è┘ü┘è┘å╪º┘â 12.5 ┘à╪¼┘à 5 ┘ä╪¿┘ê╪│,EPIFENAC 12.5 MG 5 SUPP.,919485.0,5244.0,9.0
╪º╪¿┘è┘ü┘è┘å╪º┘â 25 ┘à╪¼┘à 20 ╪º┘é╪▒╪º╪╡,EPIFENAC 25 MG 20 ENTERIC COATED TAB.,2050451.0,5245.0,12.0
╪º╪¿┘è┘ü┘è┘å╪º┘â 25 ┘à╪¼┘à 5 ┘ä╪¿┘ê╪│,EPIFENAC 25 MG 5 SUPP.,1700729.0,5246.0,9.0
╪º╪¿┘è┘ü┘è┘å╪º┘â 50 ┘à╪¼┘à 20 ╪º┘é╪▒╪º╪╡,EPIFENAC 50 MG 20 ENTERIC COATED TAB.,2208637.0,5248.0,30.0
╪º╪¿┘è┘ü┘è┘å╪º┘â 50 ┘à╪¼┘à 5 ┘ä╪¿┘ê╪│,EPIFENAC 50 MG 5 SUPP.,2616678.0,5247.0,19.0
╪º╪¿┘è┘ü┘è┘å╪º┘â 75 ┘à╪¼┘à / 3 ┘à┘ä 3 ╪º┘à╪¿┘ê┘ä,EPIFENAC 75 MG / 3 ML I.M. / I.V. 3 AMP.,2113291.0,5250.0,36.0
╪º╪¿┘è┘ü┘è┘å╪º┘â ╪º╪│ ╪º╪▒ 100 ┘à╪¼┘à 10 ┘â╪¿╪│┘ê┘ä,EPIFENAC 100 MG S.R. 10 CAPS.,2145485.0,5243.0,33.0
╪º╪¿┘è┘ü┘è┘å╪º┘â ╪º╪│ ╪º╪▒ 75 ┘à╪¼┘à 10 ╪º┘é╪▒╪º╪╡,EPIFENAC 75 MG S.R. 10 TABS.,2145915.0,5249.0,29.0
╪º╪¿┘è┘ü┘è┘å┘è┘â┘ê┘ä 1 % ┘à╪▒┘ç┘à ┘ä┘ä╪╣┘è┘å 5 ╪¼┘à,EPIPHENICOL 1 % EYE OINT. 5 GM,2495221.0,5278.0,15.0
╪º╪¿┘è┘â╪º┘ü┘è╪¬ 10 ┘à╪¼┘à / ┘à┘ä 3 ╪º┘à╪¿┘ê┘ä,EPIKAVIT 10 MG / ML 3 AMP.,2688346.0,5257.0,36.0
╪º╪¿┘è┘â╪▒┘ê┘à 4 % ┘é╪╖╪▒┘ç 10 ┘à┘ä,EPICROM 4 % EYE DROPS 10 ML,2651899.0,5232.0,23.0
╪º╪¿┘è┘â╪│ ╪¿╪¿╪▒┘ê┘å┘ç 150 ┘à┘ä ╪¿┘è╪»,APEX BABY BOTTLE 150 ML WITH HAND,2331145.0,139830.0,30.0
╪º╪¿┘è┘â╪│ ╪¿╪¿╪▒┘ê┘å┘ç 250 ┘à┘ä ╪¿┘è╪»,APEX BABY BOTTLE 250 ML WITH HAND,2633879.0,139831.0,35.0
╪º╪¿┘è┘â╪│ ╪¿╪¿╪▒┘ê┘å┘ç 60 ┘à┘ä,APEX BABY BOTTLE 60 ML,2633881.0,139829.0,25.0
╪º╪¿┘è┘â╪│╪º╪¬╪▒╪º┘â 2.5 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,APIXATRACK 2.5 MG 30 F.C. TABS.,1165229.0,1092.0,366.0
╪º╪¿┘è┘â╪│╪º╪¬╪▒╪º┘â 5 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,APIXATRACK 5 MG 30 F.C. TABS.,2277803.0,1093.0,366.0
╪º╪¿┘è┘â╪│╪º╪¼╪º╪▒╪» 2.5 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,APIXAGUARD 2.5 MG 30 TABS,2632877.0,126019.0,316.5
╪º╪¿┘è┘â╪│┘è╪»┘ê┘å 0.5 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,APEXIDONE 0.5 MG 30 F.C.TAB.,901666.0,1064.0,49.5
